publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
DreamBig Games,0.4754412492620398,260.0,0.3853304222940558,0.5655520762300238,0.47544124926203973,0.180221653935968,0.04444473422807295,152.0,416.0,264.0,41.31764705882353,0.0,0.0,0.0
Volens Nolens Games,0.4749741088562262,261.0,0.3477762391402528,0.6021719785721996,0.47497410885622615,0.2543957394319468,0.0567838509469264,141.0,489.0,348.0,60.8,0.0,0.0,0.0
Wadjet Eye Games,0.47470005936374143,262.0,0.3626435925006291,0.5867565262268539,0.47470005936374154,0.22411293372622482,0.05341041741912995,129.0,407.0,278.0,46.51764705882353,0.0,0.0,0.0
Sigma Team Inc.,0.4746523734319955,263.0,0.36351988248383416,0.5857848643801571,0.47465237343199557,0.22226498189632293,0.04749496592896039,190.0,410.0,220.0,40.411764705882355,0.0,0.0,0.0
HFM Games,0.4744334377745155,264.0,0.4010820639262451,0.5477848116227858,0.4744334377745155,0.14670274769654068,0.029335062379176154,224.0,343.0,119.0,19.88235294117647,0.0,0.0,0.0
okyakusama,0.4744140167707116,265.0,0.38203997098901954,0.5667880625524035,0.47441401677071154,0.184748091563384,0.047838329668323215,118.0,516.0,398.0,59.858823529411765,0.0,0.0,0.0
Retroware,0.47324435852734775,266.0,0.3757091108397646,0.5707796062149311,0.4732443585273478,0.19507049537516646,0.04178998983965928,209.0,315.0,106.0,19.105882352941176,0.0,0.0,0.0
Anshar Publishing,0.4728176746102486,267.0,0.37813974791330385,0.5674956013071933,0.47281767461024865,0.1893558533938895,0.037587662455840255,233.0,351.0,118.0,18.95294117647059,0.0,0.0,0.0
3dm_live_wallpapers,0.47238813521450923,268.0,0.3438061936542899,0.6009700767747286,0.4723881352145093,0.2571638831204387,0.05426979155949061,182.0,435.0,253.0,52.36470588235294,0.0,0.0,0.0
Modern Wolf,0.47212656730630054,269.0,0.3766084514985117,0.5676446831140894,0.4721265673063006,0.19103623161557776,0.03978571598050584,205.0,396.0,191.0,30.36470588235294,0.0,0.0,0.0
Soldak Entertainment,0.4719281617257613,270.0,0.32980753872567053,0.614048784725852,0.4719281617257613,0.28424124600018147,0.05592083119064444,181.0,416.0,235.0,36.07058823529412,0.0,0.0,0.0
