rank,publisher_primary,game_count,scale_reach_score,quality_score,engagement_score,momentum_score,overall_score
600,KazakovStudios,17,0.2810746438488082,0.5782793163486899,0.2481572481572481,0.0,0.3214913698831394
601,DillyFrame,22,0.1085299395898165,0.7279351972427175,0.0767813267813267,0.32457902053635446,0.3204091564659695
602,Blender Games,71,0.2676714237206001,0.6039635101916454,0.2235872235872235,0.0,0.3195914960771484
603,M9 Games,10,0.1819271533064315,0.5300102813852814,0.3255528255528255,0.21086420599998593,0.31941778408339844
604,Laush Studio,155,0.17303800033777245,0.6589070260501887,0.167076167076167,0.18416846335160375,0.3192759108512509
605,ARTLINK,13,0.051513784442785863,0.6598484848484848,0.2757985257985258,0.317729040386423,0.3188034312271891
606,Piece Of Voxel,112,0.15229611130429666,0.49516522205130103,0.2702702702702703,0.41187833228567206,0.31768900946879897
607,Tonguç Bodur,25,0.12856974292850193,0.6355882450414736,0.2371007371007371,0.22911365577103837,0.31746307932322093
608,Silesia Games,14,0.07111382945128214,0.5607108747733747,0.2659705159705159,0.4719867933001118,0.3170952249290811
609,Valkeala Software,16,0.05771600184899728,0.5836660835330534,0.0767813267813267,0.7057715880000281,0.3165224292633346
610,Snkl Studio,43,0.17127884045352476,0.6993918429435434,0.2309582309582309,0.0,0.31595679323344283
611,Cosmi Valusoft,22,0.08719770526287209,0.5704580245841593,0.5700245700245701,0.0,0.31566151822216704
612,Wholetone Games,16,0.11436642373175648,0.7298723272300123,0.1584766584766584,0.16586420599998591,0.31556490907044804
613,Fantastico Studio,11,0.10317471602078893,0.7795293808019906,0.0767813267813267,0.199955115090895,0.3153194974677729
614,New Reality Games,38,0.39022406226165984,0.48556582910106594,0.1621621621621621,0.0,0.31468060295433314
615,RewindApp,68,0.20245299550747287,0.5610709738834889,0.2923832923832923,0.10851126482351531,0.31393318879284793
616,凝冰剑斩,12,0.0736919316301116,0.9090685097663311,0.0767813267813267,0.0,0.31386899435670373
617,GVR Training Computer Software,11,0.1158257830076822,0.580933484504913,0.0767813267813267,0.5538049751182936,0.31324608102817203
618,AnelaGamesStudio,10,0.0825648249026813,0.6651594932844933,0.3255528255528255,0.11732893110003724,0.31115544147685714
619,0Cube,15,0.15928024420794207,0.737466935569351,0.1695331695331695,0.0,0.3108948000502189
620,AK Studio,12,0.1766538178246298,0.6437823132837932,0.0767813267813267,0.26465786220007453,0.3100184749100349
621,Phat Phrog Studios,12,0.323906779224241,0.4886296701804618,0.2457002457002457,0.0,0.30909632292267203
622,exosyphen studios,18,0.25568041704138217,0.42960279873388485,0.4520884520884521,0.0,0.3087866760023396
623,Thalamus Digital,12,0.12999241134805944,0.7715999282619574,0.0767813267813267,0.10732893110003722,0.30843292747167894
624,Stegalosaurus Game Development,44,0.12375047215385457,0.6406099118959985,0.1633906633906633,0.26744133875465725,0.30828997231397987
625,kovalevviktor,40,0.2772463404114288,0.5758923674586489,0.1916461916461916,0.0,0.3081331677108331
626,Xitilon,13,0.1545880273205897,0.6456637406492558,0.2223587223587223,0.10348277725388338,0.3077990928168101
627,Piko Interactive LLC,48,0.08929843584950903,0.5879514671441316,0.2868550368550369,0.28172841199997184,0.3072701618615708
628,Sinned Games,14,0.17898886634321304,0.5921839880254338,0.2002457002457002,0.1765784917142716,0.3068372134340355
629,Cornutopia Software,11,0.08570719134884067,0.7304498792270531,0.0767813267813267,0.27829422583643815,0.3062328799719412
630,Dogenzaka Lab,19,0.09824166987193314,0.5981462390186707,0.4606879606879607,0.0,0.30596604829836993
631,Indovers Studio,11,0.25693375888570313,0.4402772355107418,0.4176904176904177,0.0,0.30554806980130217
632,grin robot,10,0.14966273512960085,0.7917039134494377,0.0767813267813267,0.0,0.3052493966864569
633,HandMade Games,61,0.13827960065351347,0.4634974097116277,0.242014742014742,0.46221182505936564,0.30518180530407124
634,Chris Antoni,11,0.0298487873054824,0.8305594967455581,0.0767813267813267,0.199955115090895,0.3049644572004858
635,PaulArt,25,0.08229380048127177,0.49182630088560625,0.3857493857493858,0.33998679330011183,0.30449861657902094
636,RetroScope Games,12,0.03329564220687902,0.5682650913900913,0.0767813267813267,0.698325516910148,0.30223809508222255
